Country,Cases,Deaths,Date,Year,Lon,Lat,population,Pandemic
Trinidad and Tobago,4441,74,2020-09-30,2020,-61.26567923,10.45733408,1377562.9999999998,Covid19
Tunisia,17405,246,2020-09-30,2020,9.55288359,34.11956246,11303942.0,Covid19
Turkey,317272,8130,2020-09-30,2020,35.16895346,39.0616029,79827868.0,Covid19
Turkmenistan,0,0,2020-09-30,2020,59.37100021,39.11554137,5662371.0,Covid19
Turks and Caicos Islands,682,5,2020-09-30,2020,-71.97387881,21.83047572,36558.0,Covid19
Tuvalu,0,0,2020-09-30,2020,,,11232.000000000002,Covid19
Uganda,8017,75,2020-09-30,2020,32.36907971,1.27469299,39649172.99999999,Covid19
Ukraine,208959,4129,2020-09-30,2020,31.38326469,48.99656673,44713708.0,Covid19
United Arab Emirates,93090,416,2020-09-30,2020,54.300167099999996,23.90528188,9360975.0,Covid19
United Kingdom,446160,42072,2020-09-30,2020,-2.86563164,54.12387156,66297944.0,Covid19
United Republic of Tanzania,509,21,2020-09-30,2020,,,53049231.0,Covid19
United States Virgin Islands,1318,20,2020-09-30,2020,-64.80301538,17.95500624,104829.0,Covid19
United States of America,7077015,203875,2020-09-30,2020,-112.46167369999999,45.6795472,323015991.99999994,Covid19
Uruguay,2010,47,2020-09-30,2020,-56.01807053,-32.79951534,3424139.0,Covid19
Uzbekistan,56519,468,2020-09-30,2020,63.14001528,41.75554225,31441752.999999996,Covid19
Vanuatu,0,0,2020-09-30,2020,167.68644640000002,-16.22640909,278325.99999999994,Covid19
Venezuela (Bolivarian Republic of),73528,614,2020-09-30,2020,,,29851249.0,Covid19
Viet Nam,1094,35,2020-09-30,2020,,,93640435.0,Covid19
Wallis and Futuna Islands,0,0,2020-09-30,2020,-177.3483483,-13.88737039,12097.999999999998,Covid19
Yemen,2035,588,2020-09-30,2020,47.58676189,15.90928005,27168210.0,Covid19
Zambia,14715,332,2020-09-30,2020,27.77475946,-13.45824152,16363448.999999998,Covid19
Zimbabwe,7837,228,2020-09-30,2020,29.8514412,-19.00420419,14030338.0,Covid19
